行政區,地址,編釘日期,編釘類別
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號七樓,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號七樓之１,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號七樓之２,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號七樓之３,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號七樓之５,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號七樓之６,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號七樓之７,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號七樓之８,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號九樓,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號九樓之１,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號九樓之２,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號九樓之３,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號九樓之５,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號九樓之６,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號九樓之７,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號九樓之８,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號二樓,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號二樓之１,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號二樓之２,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號二樓之３,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號二樓之５,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號二樓之６,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號八樓,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號八樓之１,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號八樓之２,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號八樓之３,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號八樓之５,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號八樓之６,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號八樓之７,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號八樓之８,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號十一樓,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號十一樓之１,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號十一樓之２,民國114年10月29日,門牌初編
松山區,臺北市松山區慈祐里014鄰八德路四段４８６號十一樓之３,民國114年10月29日,門牌初編
